URL,Title,Brand,MRP,Current Price,Discount %,Rating,Reviews,Care instructions,Closure type,Country of Origin,Length,Material type,Occasion type,Style
https://www.amazon.in/LOUIS-SENSE-Loose-Pants-TROUSER-04_MUSTRAD/dp/B0F43SNL3X/ref=sr_1_5?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-5,LOUIS SENSE Men's Loose Pants,LOUIS SENSE,2999,379,87,3.7,169,Machine Wash,Drawstring,India,Full length,Cotton,Any occasion,Modern
https://www.amazon.in/GRECIILOOKS-Tailored-Trousers-Women-Black/dp/B0CXSV2VTS/ref=sr_1_55?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-55,"GRECIILOOKS Women High Rise High Waist Trousers Flared Korean Style Formal Pants| Elegant Workwear for Office, College & Events (Combo Pack of 2)",GRECIILOOKS,2299,399,83,3.8,2430,Machine Wash,Button And Zip,India,Standard Length,POLY LYCRA,"Christmas, New Year, Bachelor Party, Anniversary, Birthday",Single Pack
https://www.amazon.in/Anshul-Garments-Trousers-Comfortable-Standard/dp/B0DKTRQGZ8/ref=sr_1_56?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-56,Anshul Garments Men's Slim Fit Lycra Blend Trousers | Stylish Office Pants | Regular Fit Trousers for Men | Comfortable Men's Pants,Anshul Garments,999,252,75,3.1,182,Machine Wash,Button,India,N/A,Lycra,N/A,Classic
https://www.amazon.in/Vogaan-Mens-Loose-Cargo-VG-15-PISTA-38_Pista/dp/B0DK3NYFM8/ref=sr_1_54?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-54,Vogaan Men's Cargo Pants | Corduroy Trousers for Men Loose Fit | Cargos for Men | Men Cargo Trouser,Vogaan,2999,589,80,4.0,168,Machine Wash || Hand Wash,Drawstring,India,Standard Length,"95% Polyester, 5% Elastane","Wedding, Party, Anniversary, Birthday, Valentine's Day",Modern
https://www.amazon.in/dockstreet-Sweatpants-Stretchable-Drawstringbotm3003Egrey-Openbotm/dp/B0F2ZRYNMT/ref=sr_1_53?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-53,dockstreet Men's/Unisex || Open Bottom || Stretchable || Drawstring Bottom Drawstring Pure Cotton Stretchable Baggy Jogger Pants,dockstreet,999,399,60,3.7,352,N/A,N/A,India,Ankle Length,Cotton,N/A,Sweatpants
https://www.amazon.in/Peter-England-Casual-Pants-PCTFSSSB219003_Brown/dp/B0DKZSRQ1B/ref=sr_1_52?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-52,Peter England Men's Slim Fit Mid Rise Super Premium Wrinkle Free Casual Trouser Chinos,Peter England,1999,859,57,3.7,180,Machine Wash,Button,India,Standard Length,Cotton Blend,N/A,Chino
https://www.amazon.in/TOPLOT-Trousers-Stretchable-Trouser-Formal-5068-Teal-40/dp/B0DK9GC7RJ/ref=sr_1_51?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-51,TOPLOT Men's Formal Trousers || Slim Fit Men's Wear Trousers || Stretchable Formal Pant Trousers || Trouser for Men,TOPLOT,2999,399,87,3.9,654,Machine Wash,Button,India,Standard Length,Cotton Blend,"Office, Communion, Meeting, Anniversary, Birthday",Single
https://www.amazon.in/Mehrang-Trousers-Pockets-Numeric-Regular/dp/B0DSJHX6DZ/ref=sr_1_50?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-50,"Mehrang Men's Slim Fit Casual Trousers, Black, Cotton Blend, Side Pockets",Mehrang,1499,499,67,3.7,107,Hand Wash Only,Button,India,Standard Length,Cotton Blend,N/A,Modern
https://www.amazon.in/Jockey-Womens-Regular-Track-1302_Black_M/dp/B09YRS6LQX/ref=sr_1_49?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-49,Jockey 1302 Women's Super Combed Cotton Elastane Stretch Mid Rise Relaxed Fit Trackpants with Side Pockets,Jockey,599,949,-58,4.3,879,Machine Wash,Pull On,India,Ankle Length,Cotton,Casual,Classic
https://www.amazon.in/Park-Avenue-Polyviscose-Pattern-Trouser/dp/B0CR7BNPM7/ref=sr_1_48?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-48,Park Avenue Men's Mid Rise Polyviscose Blend Stripe Pattern Smart Fit Flat Front Formal Trouser,Park Avenue,2299,804,65,4.2,6,Machine Wash,Zipper,India,Standard Length,Polyviscose Blend,Date night,Trouser
https://www.amazon.in/Ben-Martin-White-Jeans-Loose/dp/B0D76D2VS1/ref=sr_1_47?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-47,"Ben Martin Men Jeans || Baggy Fit Jean's for Man || Loose Fit High Rise Denim || Stretchable Casual Wear Jean,s || Dance Rap Rapping Style Pant for Men || Denim Cotton Jeans (1)",Ben Martin,2999,699,77,4.0,906,Machine Wash,Button,India,Standard Length,Cotton,"New Year, Bachelor Party, Anniversary, Birthday, Thanksgiving",Boyfriend
https://www.amazon.in/Amazon-Brand-Symbol-Trousers-AW-SY-MCT-1153_Navy_36W/dp/B07KW5MFYW/ref=sr_1_46?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-46,Amazon Brand - Symbol Men's Regular Fit Mid Rise Trouser,Amazon Brand - Symbol,1699,379,78,3.5,11928,Machine Wash,Zipper,India,Standard Length,Cotton,Casual,Modern
https://www.amazon.in/Ben-Martin-Cargo-Pants-Cargos/dp/B0DCKWKK6S/ref=sr_1_45?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-45,"Ben Martin Men's Denim Cotton Cargo Jeans || Stretchable Baggy Fit || High Waist Loose Cargos for Men with Box Pockets || Stylish Gen-Z Streetwear || Sizes 28–40 || Black, Khaki, Grey & More",Ben Martin,2999,799,73,3.8,1003,Machine Wash,Button,India,Standard Length,Cotton,"New Year, Bachelor Party, Anniversary, Birthday, Thanksgiving",Cargo
https://www.amazon.in/Allen-Solly-Casual-Pants-ASTFMSRFU89690_Charcoal/dp/B0F7XFHJ94/ref=sr_1_44?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-44,Allen Solly Men Slim Textured Flat Front Formal Trousers,Allen Solly,2499,1152,54,4.0,16,Machine Wash,Button,India,Standard Length,Polyester Blend,N/A,Chino
https://www.amazon.in/Urban-Buccachi-TRK-001-L-Dark-Grey/dp/B0F222MYYP/ref=sr_1_43?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-43,Urban Buccachi Men's Polycotton Straight Fit Track Pants | Mid-Rise with Flexi Waistband | Comfortable Active & Lounge Wear,Urban Buccachi,999,399,60,4.0,242,Hand Wash Only,Drawstring,India,Long Length,Polycotton,"Bachelor Party, Honeymoon, Birthday",Classic
https://www.amazon.in/AVANOVA-Corduroy-Baggy-Slacks-Chino/dp/B0F4KSSFQR/ref=sr_1_42?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-42,"AVANOVA Men's Black Front Tie Loose Fit Corduroy Baggy Long Slacks Chino Pants with Slant Pocket Simple Casual Trousers, Going Out (Code Pant 186)",AVANOVA,2999,619,79,4.1,51,Machine or Hand Wash,Drawstring,India,Standard Length,Cotton Blend,"Festival, Daily, Party, Casual, Formal",Modern
https://www.amazon.in/Samfor-Track-Pant-Men-Comfortable/dp/B0FCC8BTXT/ref=sr_1_41?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-41,"Samfor Track Pant for Men - Stylish, Comfortable & Stretchable Athletic Joggers for Casual & Gym Wear, Loose fit",Samfor,1999,399,80,4.4,187,"Machine Wash , Hand Wash",Pull On,India,N/A,Polycotton,N/A,Jogger
https://www.amazon.in/Lymio-Cargo-Cotton-Cargos-Cargo-01-04/dp/B0CTQGS7KD/ref=sr_1_40?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.AFZYl56m8rLgcZ8Wy8rh-j286EJvUDnReCwWMNLmlWKze0Qy1oIey8LoNfUHr-50WRlf4UNRJmr0QSSvAJ4YZeHeZ4mIJjOqi8cqUOILIgN_wAuyzrjPo8WitivdSQWMpLEwzG2i6q1nWA38DFOGcVWKSYR-Ip2jlgNAAGuh6Cc4omT5ygYyOxTKM9m-RN3NxERZeAKEtIQeZ1X5cE54IFw20z3OOps-AbSNq9_0GbYpQJpUnUvqQgqahdd0pTdwi727SWJFm2MTt7UIxnpD59vzNgSmM4E11wfcnpp3QcU.GpfnHqjkLsUGs6lmmWbpElgVeluq8e-BLvJvHpPIFfQ&dib_tag=se&keywords=pants&qid=1758558967&sprefix=pants%2Caps%2C236&sr=8-40,Lymio Men's Regular Fit Low Rise Cotton Cargos Pants (Cargo-01-04),Lymio,4999,499,90,3.6,4109,Machine Wash,Drawstring,India,Long Length,Cotton,Casual,Cargo
