URL,Title,Brand,MRP,Current Price,Discount %,Rating,Reviews,Brand,Item Form,Item Volume,Scent,Special Feature
https://www.amazon.in/Bella-Vita-Luxury-Agarwood-Fragrance/dp/B0CHW268JT/ref=sr_1_5?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-5,"BELLAVITA CEO Man & White Oud Unisex | Long Lasting Perfume for Man and Woman | EDP 2x20ml | Tonka, Agarwood & Orange | Woody, Spicy, Citrus Premium Fragrance for Men & Women",BELLAVITA,748,169,77,4.3,7199,BELLAVITA,Liquid,20 Millilitres,"Citrus, Spicy, Wood","Leak Proof, Long Lasting, Pocket Size, Travel Size"
https://www.amazon.in/Plum-Lovin-Vanilla-Fragrance-Perfume/dp/B0BH92CHFW/ref=sr_1_54?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-54,Plum Bodylovin' Vanilla Vibes Body Mist for Women | Long Lasting Vanilla Fragrance with Warm & Cozy Vanila Scent | High on Fun | Travel Friendly Perfume Body Spray - 100ml,Plum,375,296,21,4.2,5265,Plum,Liquid,100 Millilitres,Vanilla,N/A
https://www.amazon.in/Jaguar-Classic-Instinct-Unisex-Perfume/dp/B00MVC6H2A/ref=sr_1_56?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-56,"JAGUAR Classic Blue Eau De Toilette - 100 Ml (For Men, Floral)",JAGUAR,4100,1839,55,3.9,447,JAGUAR,Liquid,100 Millilitres,Floral,Travel Size
https://www.amazon.in/BELLAVITA-Lasting-Perfume-Bergamot-Fragrance/dp/B0DYTSD9JF/ref=sr_1_55?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-55,"BELLAVITA Narco & Devil | Long Lasting 2x20ml EDP Perfume for Man and Woman | with Bergamot, Jasmine & Vanilla | Premium Unisex Fragrance for Men and Women",BELLAVITA,798,169,79,4.0,688,BELLAVITA,Liquid,40 Millilitres,Wood,"Leak Proof, Long Lasting, Pocket Size, Travel Size"
https://www.amazon.in/Parfum-Luxury-Fragrance-Pattern-Design/dp/B0FC46KWXC/ref=sr_1_53?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-53,"Hawas For Him Eau De Parfum, 100 ml, Luxury Fragrance with Snake Pattern Design",ashim PREMIUM FRAGRANCES,4999,2499,50,4.0,2,ashim PREMIUM FRAGRANCES,Liquid,100 Millilitres,"Oriental, Spicy, Wood",Long Lasting
https://www.amazon.in/Carlton-London-Perfume-Fragrance-Girlfriend/dp/B0BGZBFF9S/ref=sr_1_52?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-52,"Carlton London Escape Perfume 100ml | Eau de Parfum for Women | Premium long lasting luxury perfume for woman | Floral Fragrance | Best gift for women | Perfect for Gifting Girlfriend, Wife & Mom",Carlton London,1890,596,68,4.0,1197,Carlton London,Liquid,100 Millilitres,Floral,Scented
https://www.amazon.in/Skinn-Titan-Celeste-Perfumes-Women/dp/B07FSDV7G8/ref=sr_1_51?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-51,"Skinn by Titan Raw and Celeste Perfumes for Men and Women, 50ml (Pack of 2)",Skinn By Titan,2995,1916,36,4.4,273,Skinn By Titan,Spray,50 Millilitres,Fresh,Travel Size
https://www.amazon.in/Carlton-London-Women-Limited-Parfum/dp/B09MTR2HRP/ref=sr_1_50?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-50,"Carlton London Blush ladies Perfume for Women - 100ml Long Lasting Fragrance For Women with Lavender, Jasmine, Musk & Sandalwood, Premium Luxury Fragrance, Birthday Gifts for Woman",Carlton London,2190,766,65,4.1,2098,Carlton London,Liquid,100 Millilitres,Floral,"Long Lasting, Portable, Travel Size"
https://www.amazon.in/Bella-Vita-Organic-Floral-Fruity-Fragrance/dp/B09X5BQ969/ref=sr_1_49?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-49,"Bella Vita Luxury Honey Oud 100ml Long Lasting Perfume for Man and Woman | Bergamot, Patchouli & Vanilla | Sweet, Woody and Spicy Fragrance for Men & Women",Bella Vita Luxury,999,475,52,4.2,8761,Bella Vita Luxury,Liquid,100 Millilitres,"Citrus, Honey, Wood","Leak Proof, Long Lasting"
https://www.amazon.in/Skinn-Raw-Fragrance-Men-20ml/dp/B077XWTK3G/ref=sr_1_48?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-48,"Skinn by Titan, Raw Long Lasting EDP for Men - 20 mL | Perfume for Men | Eau De Parfum for Men | Premium Fragrance | Grooming Essentials",Skinn By Titan,695,417,40,4.1,7141,Skinn By Titan,Liquid,20 Millilitres,Fresh,Homeopathic
https://www.amazon.in/Guess-Bella-Vita-Parfum-100ml/dp/B08VXJCR2R/ref=sr_1_47?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-47,GUESS Bella Vita Eau de Parfum,GUESS,7000,3148,55,4.5,1909,GUESS,Spray,3.4 Fluid Ounces,Floral,Travel Size
https://www.amazon.in/Bella-Vita-Organic-AQUATIC-Cologne/dp/B09X9XPKX5/ref=sr_1_45?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-45,"Bella Vita Luxury Skai Aquatic Unisex Long Lasting Perfume for Man and Woman | EDC 100ml | Bergamot, Lavender & Patchouli | Woody, Citrus Premium Fragrance Perfume for Men & Women",Bella Vita Luxury,699,399,43,4.1,7767,Bella Vita Luxury,Liquid,100 Millilitres,"Aquatic, Citrus, Fresh, Wood","Leak Proof, Long Lasting"
https://www.amazon.in/MainStream-Dominating-Character-Absolutes-Essential/dp/B0D45N6XRG/ref=sr_1_44?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-44,"EM5 Aghori Extrait De Parfum (38%) Spray for Men | Earthy, Woody, Smoky & Animalic Perfume | Raw, Dominating, Intense & Rustic Scent | Strong & Long Lasting Fragrance | 68% Natural Absolutes & Essential Oils | 50 ml",Em5,2499,1789,28,4.5,559,Em5,Spray,50 Millilitres,"Aghori (Earthy, Woody, Smoky, Animalic)","Hypoallergenic, Long Lasting, Not Tested On Animals"
https://www.amazon.in/Man-Company-Black-EDT-Perfume/dp/B0CL2C97GY/ref=sr_1_43?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-43,The Man Company Fresh Black Edt Perfume For Men - 100Ml | Premium Long-Lasting Fragrance | Perfume Gift for Friend | Anniversary Fragrance Gift | Diwali Perfume Gift For Him,The Man Company,2499,380,85,3.8,11951,The Man Company,Spray,100 Millilitres,Citrus,Not Tested On Animals
https://www.amazon.in/Arabian-Aroma-Old-Money-Parfum/dp/B0F8J224KP/ref=sr_1_42?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-42,Arabian Aroma Old Money Eau de Parfum – Long Lasting Perfume for Man – Mens Perfumes Long Lasting – 50ml,Arabian Aroma,1499,267,82,4.0,182,Arabian Aroma,Liquid,50 Millilitres,Old Money,N/A
https://www.amazon.in/Park-Avenue-Collection-Trance-Perfume/dp/B01N780ZEL/ref=sr_1_41?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-41,"Park Avenue Pure Collection Trance Fragrance Body Spray for Men, 135ml",Park Avenue,220,80,64,3.8,8293,Park Avenue,Spray,135 Millilitres,Trance,Travel Size
https://www.amazon.in/Perfume-Men-Women-Luxurious-Long-Lasting/dp/B0F5QV9SZS/ref=sr_1_40?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-40,"Perfume for Men & Women – Luxurious Romantic Perfume With Long-Lasting Fragrance, 50ml – Sensual & Elegant Scent for Special Occasions (G Flora) (50 ML (Pack Of 1))",SHOPAVO,1799,269,85,3.7,358,SHOPAVO,Liquid,50 Millilitres,Floral,Travel Size
https://www.amazon.in/Nautica-Voyage-Men-Toilette-Spray/dp/B000P22TIY/ref=sr_1_39?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-39,Nautica Voyage Eau De Toilette For Men - 100ml,Nautica,3900,1749,55,3.8,125896,Nautica,Liquid,100 Millilitres,"Fresh, Aquatic, Fougere",Long Lasting
https://www.amazon.in/BEARDO-Whisky-Godfather-Liquid-Perfume/dp/B0CWTLT42P/ref=sr_1_38?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-38,"BEARDO Men Whisky Smoke & Godfather Perfume Combo for Men (50 Ml X 2) | Spicy, Woody - Oudh Notes Of Whisky Smoke & Aromatic, Spicy Notes Of Godfather | Long Lasting Smell Perfume For Men | Rakhi Gift for Brother",BEARDO,1398,357,74,4.1,916,BEARDO,Liquid,100 Millilitres,"Woody, Spicy",scented
https://www.amazon.in/Rasasi-Hawas-Cologne-Men-100ml/dp/B01LDT51ZU/ref=sr_1_37?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-37,Rasasi Hawas Eau De Parfum 100ml For Men | Long Lasting Perfume | Luxury Scent | Alluring Fragrance,RASASI,4999,2980,40,4.2,16371,RASASI,Aerosol,100 Millilitres,Hawas Men,Long Lasting
https://www.amazon.in/Guess-Seductive-Women-Eau-Toilette/dp/B0041FXETY/ref=sr_1_36?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-36,Guess Seductive Woman Floriental Woody Eau De Toilette - 75 Ml (For Women),GUESS,5100,2301,55,4.3,7940,GUESS,Liquid,2.5 Fluid Ounces,"Guess Seductive, Guess",Travel Size
https://www.amazon.in/VOKKA-Lasting-Aquatic-Perfume-Fragrance/dp/B0D8JKBHLS/ref=sr_1_35?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.Y51m-NQB8dOuZ64ppct17Pr88K0N2etMfNdcXkZ4Uha27Rhyz6slpqdU10dxb9Mge-SfK_yVyyJxCUfMg9vaj14sOfrbVpXefaPWmUhiFDnbrXFZfhoMFqI00DXXrXHWEbCMoVlz_NIb2tG6err74Ss-91TI0LZn8hgE-Qmn6pzgPdH5Dmq36-MrECEO0cqJdkC21Px4j6Puml5q3nMh117ixbqlKIGBCcfzK81cvb-puWydZBByGGMT39ENxgyoDyYp4b9MwQxSLjWwZqXgrbW2Ex9h6EHsn8xtxjY43yQ.xZGNSrqTkUnyn-z8BmdMKFcdCa-Lbm6zBmEkwZtwRoA&dib_tag=se&keywords=perfume&qid=1758558925&sprefix=perfume%2Caps%2C236&sr=8-35,VOKKA Thai Oud & Thai Aqua 200 ml | Pack of 2 x 100ml Unique Unisex Luxury Long Lasting Woody Aquatic Perfume Gift Set For Men And Women | Aquatic Scent Eau De Parfum | EDP Fragrance for Gift | Notes: Aqua Woody Musky,VOKKA,2298,368,84,3.5,990,VOKKA,Liquid,200 Millilitres,Aqua and Oud,"Scented, Travel Size"
